,org:resource,lifecycle:transition,concept:name,time:timestamp,case:REG_DATE,case:concept:name,case:AMOUNT_REQ,@@index,@@case_index
0,10862,COMPLETE,O_SELECTED,2011-10-01 11:45:09.243000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000,0,0
1,10862,COMPLETE,O_CREATED,2011-10-01 11:45:11.197000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000,1,0
2,10862,COMPLETE,O_SENT,2011-10-01 11:45:11.380000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000,2,0
3,11049,COMPLETE,O_SENT_BACK,2011-10-10 11:33:03.668000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000,3,0
4,10629,COMPLETE,O_ACCEPTED,2011-10-13 10:37:29.226000+00:00,2011-10-01 00:38:44.546000+00:00,173688,20000,4,0
5,10862,COMPLETE,O_SELECTED,2011-10-01 14:35:46.016000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,5,1
6,10862,COMPLETE,O_CREATED,2011-10-01 14:35:47.488000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,6,1
7,10862,COMPLETE,O_SENT,2011-10-01 14:35:47.583000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,7,1
8,11120,COMPLETE,O_SELECTED,2011-10-03 16:56:17.731000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,8,1
9,11120,COMPLETE,O_CANCELLED,2011-10-03 16:56:17.731000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,9,1
10,11120,COMPLETE,O_CREATED,2011-10-03 16:56:19.613000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,10,1
11,11120,COMPLETE,O_SENT,2011-10-03 16:56:19.645000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,11,1
12,11049,COMPLETE,O_SENT_BACK,2011-10-10 10:14:43.775000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,12,1
13,10809,COMPLETE,O_ACCEPTED,2011-10-10 14:17:26.306000+00:00,2011-10-01 08:08:58.256000+00:00,173691,5000,13,1
14,11201,COMPLETE,O_SELECTED,2011-10-03 13:40:14.632000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,14,2
15,11201,COMPLETE,O_CREATED,2011-10-03 13:40:15.605000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,15,2
16,11201,COMPLETE,O_SENT,2011-10-03 13:40:15.651000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,16,2
17,11201,COMPLETE,O_SELECTED,2011-10-03 13:44:17.619000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,17,2
18,11201,COMPLETE,O_CANCELLED,2011-10-03 13:44:17.619000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,18,2
19,11201,COMPLETE,O_CREATED,2011-10-03 13:44:19.671000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,19,2
20,11201,COMPLETE,O_SENT,2011-10-03 13:44:19.719000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,20,2
21,10861,COMPLETE,O_SELECTED,2011-10-17 19:43:53.587000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,21,2
22,10861,COMPLETE,O_CANCELLED,2011-10-17 19:43:53.587000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,22,2
23,10861,COMPLETE,O_CREATED,2011-10-17 19:43:55.219000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,23,2
24,10861,COMPLETE,O_SENT,2011-10-17 19:43:55.387000+00:00,2011-10-01 08:10:30.287000+00:00,173694,7000,24,2
